year,baiu_start_date,baiu_end_date,baiu_precipitation_compared_to_mean_period
1980,1980-06-08,1980-07-21,96
1981,1981-06-11,1981-07-08,88
1982,1982-06-17,1982-08-04,101
1983,1983-06-12,1983-07-26,105
1984,1984-06-10,1984-07-22,96
1985,1985-06-08,1985-07-15,157
1986,1986-06-16,1986-07-27,69
1987,1987-06-09,1987-07-23,76
1988,1988-06-08,1988-07-31,109
1989,1989-06-09,1989-07-19,128
1990,1990-06-01,1990-07-18,50
1991,1991-05-31,1991-07-23,89
1992,1992-06-07,1992-07-19,87
1993,1993-05-30,,144
1994,1994-06-07,1994-07-12,54
1995,1995-06-03,1995-07-23,118
1996,1996-06-08,1996-07-11,93
1997,1997-06-09,1997-07-19,93
1998,1998-06-02,1998-08-02,102
1999,1999-06-17,1999-07-23,124
2000,2000-06-09,2000-07-16,123
2001,2001-06-05,2001-07-01,62
2002,2002-06-11,2002-07-20,109
2003,2003-06-10,2003-08-02,83
2004,2004-06-06,2004-07-13,66
2005,2005-06-10,2005-07-18,107
2006,2006-06-09,2006-07-30,120
2007,2007-06-22,2007-08-01,111
2008,2008-05-29,2008-07-19,88
2009,2009-06-03,2009-07-14,92
2010,2010-06-13,2010-07-17,98
2011,2011-05-27,2011-07-09,84
2012,2012-06-09,2012-07-25,99
2013,2013-06-10,2013-07-06,76
2014,2014-06-05,2014-07-21,115
2015,2015-06-03,2015-07-10,125
2016,2016-06-05,2016-07-29,73
2017,2017-06-07,2017-07-06,69
2018,2018-06-06,2018-06-29,89
2019,2019-06-07,2019-07-24,131
2020,2020-06-11,2020-08-01,174
2021,2021-06-14,2021-07-16,128
2022,2022-06-06,2022-07-23,91
2023,2023-06-08,2023-07-22,110
2024,2024-06-21,2024-07-18,113
2025,2025-05-22,2025-06-28,73
